ID,COUNTRY,ISO,ADMIN_LEVEL_NAME,PCODE,REGION,CATEGORY,MEASURE,TARGETED_POP_GROUP,COMMENTS,DATE_IMPLEMENTED,SOURCE,SOURCE_TYPE,LINK,ENTRY_DATE,Alternative source
68,Bahrain,BHR,,,Middle East,Movement restrictions,Visa restrictions,Yes,"China, Hong Kong, Iran, Malaysia, Singapore, Thailand, South Korea and Italy",1/03/2020,US Embassy ,Government,https://bh.usembassy.gov/covid-19-information/,14/03/2020,
70,Bahrain,BHR,,,Middle East,Public health measures,Introduction of quarantine policies,Yes,"everyone who is travelling from China, Hong Kong, Iran, Malaysia, Singapore, Thailand, South Korea and Italy",1/03/2020,US Embassy ,Government,https://bh.usembassy.gov/covid-19-information/,14/03/2020,
71,Bahrain,BHR,,,Middle East,Public health measures,Health screenings in airports and border crossings,Yes,everyone,1/03/2020,US Embassy ,Government,https://bh.usembassy.gov/covid-19-information/,14/03/2020,
72,Bahrain,BHR,,,Middle East,Social distancing,Schools closure ,No,2 weeks,26/02/2020,ISC,Other organisations,https://www.iscresearch.com/cornavirus-covid-19-update,14/03/2020,https://www.khaleejtimes.com/coronavirus-outbreak/covid-19-schools-universities-closed-for-two-weeks-over-coronavirus-fears
81,Bahrain,BHR,,,Middle East,Social distancing,Changes in prison-related policies,Yes, Al Khalifa issued a decree granting pardon for 901 prisoners. A further 585 inmates will serve out the rest of their sentences in rehabilitation and training programs,12/03/2020,Al monitor,Media,https://www.al-monitor.com/pulse/originals/2020/03/bahrain-pardon-prisoners-coronavirus-formula-one.html,14/03/2020,
1103,Bahrain,BHR,,,Middle East,Public health measures,Introduction of quarantine policies,No,Enhanced previous measures (ie. screening all arrivals and questionaires) ,18/03/2020,US Embassy of Bahrain ,Government,https://bh.usembassy.gov/covid-19-information/,21/03/2020,https://www.evisa.gov.bh/VISA/visaInput?nav=A0S&A0S=a
1104,Bahrain,BHR,,,Middle East,Movement restrictions,Visa restrictions,Yes,"Suspension of all visas upon arrival *except diplomats AND deny entry to any individual who has either departed from or transited through Iraq, Lebanon, Iran * except citizens of Bahrain and GCC member states/perminant residents/Passengers with Prior Permission Granted",18/03/2020,Bahrian E-Visas,Government,https://www.evisa.gov.bh/VISA/visaInput?nav=A0S&A0S=a,21/03/2020,https://www.evisa.gov.bh/
1105,Bahrain,BHR,,,Middle East,Social distancing,Public services closure ,No,School closure extended an additional 2 weeks form initial (end: march 29),15/03/2020,ISC Research ,Other organisations,https://www.iscresearch.com/cornavirus-covid-19-update,21/03/2020,
1106,Bahrain,BHR,,,Middle East,Social and economic measures,Fines for noncompliance,No," 3mo in jail and 10,000 BHD fine",18/03/2020,US Embassy of Bahrain ,Government,https://bh.usembassy.gov/covid-19-information/,21/03/2020,
38,Bangladesh,BGD,,,Asia,Public health measures,Introduction of quarantine policies,Yes,"14 days self-quarantine, foreign nationals arriving from China, Italy, Iran or South Korea",8/03/2020,UK Government Travel Advice,Government,https://www.gov.uk/foreign-travel-advice/bangladesh/health,20/03/2020,
211,Bangladesh,BGD,,,Asia,Movement restrictions,Flights suspension,Yes,"Restrictions on flights arriving from Europe, excepting the UK",16/03/2020,UK Government Travel Advice,Government,https://www.gov.uk/foreign-travel-advice/bangladesh/health,15/03/2020,
214,Bangladesh,BGD,,,Asia,Movement restrictions,Visa restrictions,No,Suspension of all visas on arrival,16/03/2020,UK Government Travel Advice,Government,https://www.gov.uk/foreign-travel-advice/bangladesh/health,15/03/2020,
192,Barbados,BRB,,,Americas,Public health measures,Introduction of quarantine policies,Yes,"Anyone who has been in Italy, South Korea, China, or Iran in the last 14 days will be made to quarantine ",8/03/2020,UK Government Travel Advice,Government,https://www.gov.uk/foreign-travel-advice/barbados,15/03/2020,
193,Barbados,BRB,,,Americas,Public health measures,Health screenings in airports and border crossings,No,,1/03/2020,US Embassy ,Government,https://bb.usembassy.gov/u-s-citizen-services/covid-19-information/,15/03/2020,
1430,Barbados,BRB,,,Americas,Public health measures,Introduction of quarantine policies,Yes,"As of Sunday, 22 March, all visitors arriving from the United States, United Kingdom, and Europe will be subject to a 14-day quarantine. Citizens and residents of Barbados will be subject to a home-quarantine.",22/03/2020,US Embassy,Government,https://bb.usembassy.gov/u-s-citizen-services/covid-19-information/,22/03/2020,
1431,Barbados,BRB,,,Americas,Movement restrictions,Electronic surveilance,No,The Government of Barbados is conducting thermal screening at airports and seaports.,5/02/2020,US Embassy,Government,https://bb.usembassy.gov/u-s-citizen-services/covid-19-information/,22/03/2020,https://gisbarbados.gov.bb/blog/bdf-to-help-assist-port-health-officers-combat-coronavirus/
1432,Barbados,BRB,,,Americas,Public health measures,Awareness campaigns,No,Establishment of information hotline,11/03/2020,US Embassy,Government,https://bb.usembassy.gov/u-s-citizen-services/covid-19-information/,22/03/2020,
1433,Barbados,BRB,,,Americas,Public health measures,Awareness campaigns,No,"MoH met in press conference to discuss readiness to respond and prepped meetings with local hospitals, Ministry of Tourism, Ministry of Maritime Affairs, and Blue Economy. Have protocols they are prepared to mobilize from past Ebola and SARS outbreaks. ",22/01/2020,MoH ,Government,https://gisbarbados.gov.bb/blog/health-ministry-on-alert-for-new-coronavirus/,22/03/2020,
1434,Barbados,BRB,,,Americas,Public health measures,Health screenings in airports and border crossings,Yes,Travelers arriving at ports of entry from high risk areas to be screened by health officers ,22/01/2020,MoH,Government,https://gisbarbados.gov.bb/blog/health-ministry-on-alert-for-new-coronavirus/,22/03/2020,
1435,Barbados,BRB,,,Americas,Public health measures,Awareness campaigns,No,MoH advises against non-essential travel to Hubei Province in China ,27/01/2020,MoH,Government,https://gisbarbados.gov.bb/blog/avoid-non-essential-travel-to-hubei-province/,22/03/2020,
1436,Barbados,BRB,,,Americas,Public health measures,Health screenings in airports and border crossings,Yes,"Bolstered screening capacity. Assistance from the Barbados Defence Force from their medical personnel to join with port health in order to give more numbers at ports of entry, particularly at the airport",5/02/2020,MoH,Government,https://gisbarbados.gov.bb/blog/bdf-to-help-assist-port-health-officers-combat-coronavirus/,22/03/2020,
1437,Barbados,BRB,,,Americas,Public health measures,Awareness campaigns,Yes,"CARICOM emergency meeting of regional institutions responsible for managing disease. Reviewed protocols that were established regionally in terms of dealing with other epidemics such as SARS, MERS and H1N1 and they also addressed the adaptation of these protocols to suit the coronavirus. Also had presentation from China to discuss how they had managed the disease. ",4/02/2020,MoH,Government,https://gisbarbados.gov.bb/blog/health-minister-lauds-efforts-to-address-coronavirus/,22/03/2020,
1438,Barbados,BRB,,,Americas,Public health measures,Strengthening the public health system,No,isolation facility established at Queen Elizabeth Hospital. plans for bolstering laboratory capacity within coming weeks ,5/02/2020,MoH,Government,https://gisbarbados.gov.bb/blog/health-minister-lauds-efforts-to-address-coronavirus/,22/03/2020,
1460,Barbados,BRB,,,Americas,Public health measures,Awareness campaigns,No,"General public invited to join other stakeholders at an engagement and training session on the 2019 novel coronavirus (2019-nCoV) at the Lloyd Erskine Sandiford Centre, Two Mile Hill, St. Michael, on Sunday, February 9. Government departments such as Immigration and Customs, the Ministries of Tourism, Agriculture and Education represented.",9/02/2020,MoH,Government,https://gisbarbados.gov.bb/blog/public-information-session-on-novel-coronavirus-sunday/,22/03/2020,
1461,Barbados,BRB,,,Americas,Public health measures,Awareness campaigns,Yes,three days of sensitization training conducted by the Medical Officers of Health in the Ministry for public officers as well as other stakeholder groups,10/02/2020,MoH,Government,https://gisbarbados.gov.bb/blog/government-lab-to-test-for-novel-coronavirus/,22/03/2020,
1525,Barbados,BRB,,,Americas,Public health measures,Strengthening the public health system,No,"Temporary quarantine center set up and ready to be deployed. Meanwhile, a permanent quarantine facility being prepared at the St. Lucy District Hospital.  Preparations include the transfer of the residents of the hospital to the Geriatric Hospital, and the residents of the Elayne Scantlebury Centre, which is also on the River Bay, St. Lucy compound, to the Psychiatric Hospital.",14/02/2020,MoH,Government,https://gisbarbados.gov.bb/blog/temporary-quarantine-centre-ready/,22/03/2020,
1526,Barbados,BRB,,,Americas,Public health measures,General recommendations,Yes,"The Ministry of Health and Wellness has advised residents of Barbados against travelling to China and South Korea, unless absolutely necessary. The recommendation follows a previous advisory, issued last month, warning against non-essential travel to Hubei Province in China after the coronavirus outbreak in its capital, Wuhan, last December. Further advised persons travelling to Italy and Iran, which have both reported clusters of COVID-19 cases, to take all necessary precautions related to respiratory etiquette and hand hygiene.",27/02/2020,MoH,Government,https://gisbarbados.gov.bb/blog/warning-against-non-essential-travel-to-china-south-korea/,22/03/2020,
1527,Barbados,BRB,,,Americas,Public health measures,Awareness campaigns,Yes,"Special emergency meeting held with CARICOM (Carribean Community) Heads of Government adopted a protocol drafted by PAHO to deal with COVID-19, which defines roles and responsibilities and seeks to ensure that there is effective communication among stakeholders with respect to decisions. Regional governments adopted a protocol for dealing with COVID-19, which included establishing a sub-committee of Heads of Government which will continue discussions with the cruise industry, regional financial institutions, international financial institutions and the private sector to look at ways of providing resources for capacity to deal with any possible outbreak",2/03/2020,MoH,Government,https://gisbarbados.gov.bb/blog/caribbean-must-prepare-for-covid-19/,22/03/2020,
1528,Barbados,BRB,,,Americas,Public health measures,Introduction of quarantine policies,No,"With immediate effect, all arriving passengers who have been in Iran, or Lombardy, Emilia-Romagna or Veneto in Italy in the previous 14 days will be required to report to Port Health at the points of entry.  These passengers will be interviewed by port health officers and sent to mandatory quarantine. The type of quarantine is determined by the level of risk of exposure.  Low-risk individuals, he explained, are sent to home quarantine while moderate to high-risk individuals are sent to mandatory quarantine. Quarantine measures already in place for passengers who have been in Hubei Province in China and South Korea during the previous 14 days.",4/03/2020,MoH,Government,https://gisbarbados.gov.bb/blog/health-ministry-expands-list-of-countries-facing-quarantine/,22/03/2020,
1529,Barbados,BRB,,,Americas,Public health measures,Introduction of quarantine policies,Yes,Barbados Government today expanded its quarantine protocol to apply to passengers arriving in Barbados from all of Italy.,7/03/2020,MoH,Government,https://gisbarbados.gov.bb/blog/quarantine-requirement-expanded-to-all-of-italy/,22/03/2020,
1530,Barbados,BRB,,,Americas,Social and economic measures,Economic measures,No," ""Government has taken the firm decision that we will undertake countercyclical fiscal policies in order to make sure that if a man or woman cannot work fully within the tourism sector, that there will be other areas of economic activity in the country that we will now trigger or expedite, in order to keep as many people working as possible.”  Augmentation of resources and additional fiscal space, through the relaxation of fiscal and debt targets",11/03/2020,Government Info Service ,Government,https://gisbarbados.gov.bb/blog/plans-in-place-to-combat-economic-fall-out-from-covid-19/,22/03/2020,
1531,Barbados,BRB,,,Americas,Public health measures,Awareness campaigns,No,"Minister of Health does Facebook livestream to spread updates, awareness, advice",11/03/2020,Government Info Service,Government,https://gisbarbados.gov.bb/blog/bgis-to-host-facebook-discussion-on-covid-19/,20/03/2020,
1532,Barbados,BRB,,,Americas,Social distancing,Public services closure ,No,visits to geriatric and district hospitals restricted,11/03/2020,Government Info Service ,Government,https://gisbarbados.gov.bb/blog/visits-to-geriatric-district-hospitals-restricted-with-immediate-effect/,20/03/2020,
1533,Barbados,BRB,,,Americas,Public health measures,Awareness campaigns,Yes,Registration Dept. & Courts Sensitization Session,13/03/2020,Government Info Service ,Government,https://gisbarbados.gov.bb/blog/registration-dept-courts-sensitization-session/,20/03/2020,
1534,Barbados,BRB,,,Americas,Public health measures,Strengthening the public health system,No,"Government has ordered the Barbados Drug Service (BDS) to stockpile a six-month supply of pharmaceuticals in preparation for any fall-out that might occur as a result of the COVID-19 global pandemic. Government has also prepared by buying ventilators. Assistance was being sought from the Ministry of Foreign Affairs and Foreign Trade in establishing contacts with overseas suppliers of the necessary drugs, which will include those for non-communicable diseases and HIV",14/03/2020,Government Info Service ,Government,https://gisbarbados.gov.bb/blog/government-stockpiling-pharmaceuticals/,20/03/2020,
1535,Barbados,BRB,,,Americas,Social distancing,Public services closure ,No,"Barbados Fire Service (BFS) will suspend all station tours, until further notice. In addition, all non-essential visits to fire stations, outside of legitimate business transactions, are discouraged. ",16/03/2020,Government Info Service ,Government,https://gisbarbados.gov.bb/blog/bfs-contingency-plan-against-covid-19/,20/03/2020,
1536,Barbados,BRB,,,Americas,Public health measures,Strengthening the public health system,Yes,water tankers deployed to prevent lack of water access ,16/03/2020,Government Info Service ,Government,https://gisbarbados.gov.bb/blog/additional-tankers-community-tanks-to-be-deployed/,20/03/2020,
1537,Barbados,BRB,,,Americas,Social distancing,Limit public gatherings,No,Public gatherings will be restricted to 100 persons or less as soon as Barbados records its first case of COVID-19.,16/03/2020,Government Info Service ,Government,https://gisbarbados.gov.bb/blog/prime-minister-speaks-on-mass-based-events-in-wake-of-covid-19/,20/03/2020,
1538,Barbados,BRB,,,Americas,Public health measures,General recommendations,Yes,Vulnerable Groups Urged To Self-Quarantine,16/03/2020,Government Info Service ,Government,https://gisbarbados.gov.bb/blog/vulnerable-groups-urged-to-self-quarantine/,20/03/2020,
1539,Barbados,BRB,,,Americas,Social distancing,Limit public gatherings,No,All public gatherings such as sporting and cultural events or any event that attracts crowds will be restricted to 100 persons. ,17/03/2020,Government Info Service ,Government,https://gisbarbados.gov.bb/blog/statement-on-covid-19-by-minister-of-health-and-wellness/,20/03/2020,
1540,Barbados,BRB,,,Americas,Public health measures,Awareness campaigns,No,All public educational insituttions closed to facilitate online consultation on COVID 19,17/03/2020,Government Info Service ,Government,https://gisbarbados.gov.bb/blog/schools-to-close-at-noon-for-virtual-meeting/,20/03/2020,
1541,Barbados,BRB,,,Americas,Social distancing,Public services closure ,No,"The Royal Barbados Police Force (RBPF) advises members of the public that tours to police stations by groups and schools have been suspended, until further notice. Visits to public health care institutions have been suspended, and some facilities closed, as a result of the activation of Stage 1 of the Barbados National COVID-19 Preparedness Plan.",17/03/2020,Government Info Service ,Government,https://gisbarbados.gov.bb/blog/suspension-of-police-tours/,23/03/2020,https://gisbarbados.gov.bb/blog/suspension-of-visits-closures-of-public-health-institutions/
1542,Barbados,BRB,,,Americas,Social and economic measures,Economic measures,No,"There will be no data charge for Barbadians who want to access information on the COVID-19 virus online, or access the hotline.",17/03/2020,Government Info Service ,Government,https://gisbarbados.gov.bb/blog/free-access-to-covid-19-information-online/,23/03/2020,
1543,Barbados,BRB,,,Americas,Public health measures,Strengthening the public health system,Yes,A COVID-19 simulation exercise was conducted at the Grantley Adams International Airport (GAIA) on Tuesday. Practiced standard operating procedures (SOPs) for a public health response to communicable diseases,18/03/2020,Government Info Service ,Government,https://gisbarbados.gov.bb/blog/covid-19-drill-at-the-grantley-adams-airport/,23/03/2020,
1544,Barbados,BRB,,,Americas,Public health measures,Awareness campaigns,No,"Nutrition Officer in the National Nutrition Centre, Ministry of Health and Wellness advises on importance of good nutrition",18/03/2020,Government Info Service ,Government,https://gisbarbados.gov.bb/blog/barbadians-reminded-of-importance-of-good-nutrition/,23/03/2020,
1545,Barbados,BRB,,,Americas,Public health measures,General recommendations,No,Avoid Taking Ibuprofen For COVID-19 Symptoms,18/03/2020,Government Info Service ,Government,https://gisbarbados.gov.bb/blog/avoid-taking-ibuprofen-for-covid-19-symptoms/,23/03/2020,
1546,Barbados,BRB,,,Americas,Public health measures,Strengthening the public health system,Yes,Contact Tracing Has Begun In Barbados after two cases confirmed,18/03/2020,Government Info Service ,Government,https://gisbarbados.gov.bb/blog/covid-19-contact-tracing-has-begun-in-barbados/,23/03/2020,
1547,Barbados,BRB,,,Americas,Social distancing,Schools closure ,No,,19/03/2020,Government Info Service ,Government,https://gisbarbados.gov.bb/blog/school-term-ends-early-for-easter-break/,23/03/2020,
1548,Barbados,BRB,,,Americas,Social distancing,Public services closure ,Yes,"Public access to the Community Legal Services Commission suite of offices at the Supreme Court Complex will be restricted, with immediate effect.",19/03/2020,Government Info Service ,Government,https://gisbarbados.gov.bb/blog/restricted-public-access-to-community-legal-services/,23/03/2020,
1549,Barbados,BRB,,,Americas,Social distancing,Changes in prison-related policies,No,"only one person will be allowed on each visit to an inmate either per month or per week, while all children’s visits are cancelled.",19/03/2020,Government Info Service ,Government,https://gisbarbados.gov.bb/blog/changes-to-visiting-hours-at-prison/,23/03/2020,
1550,Barbados,BRB,,,Americas,Social distancing,Public services closure ,No,"Ministry of People Empowerment and Elder Affairs has advised that the Jorris Dunner Elderly Day Care Centre, at Golden Rock, Pine, St. Michael, will be closed to the public, until further notice. Additionally, visits have been temporarily suspended to the following residential facilities: Vauxhall Senior Citizens Village; Lancaster House; and the Clyde Gollop Centre.",19/03/2020,Government Info Service ,Government,https://gisbarbados.gov.bb/blog/senior-facilities-closed-to-public/,23/03/2020,
1551,Barbados,BRB,,,Americas,Public health measures,General recommendations,No,Royal Barbados Police Force (RBPF) are advising residents and businesses to be careful in responding to requests for monetary donations to assist those affected by COVID-19.,19/03/2020,Government Info Service ,Government,https://gisbarbados.gov.bb/blog/police-issue-caution-against-fraud/,23/03/2020,
1583,Barbados,BRB,,,Americas,Public health measures,Awareness campaigns,Yes,"PM met with stakeholders for 3+ hours (owners of capital, such as hoteliers, restauranteurs and the business community; captains of industry; public service vehicle operators; trade union officials; as well as members of the credit union and the banking communities) to discuss matters related to COVID 19 ",19/03/2020,Gov. Info Services,Government,https://gisbarbados.gov.bb/blog/prime-minister-mottley-met-with-stakeholders/,23/03/2020,
1584,Barbados,BRB,,,Americas,Social distancing,Public services closure ,No ,"Barbadian diplomatic missions across the world will now operate by teleworking, while others have reduced office hours, due to the coronavirus COVID-19 pandemic",19/03/2020,Gov. Info Services,Government,https://gisbarbados.gov.bb/blog/barbadian-embassies-are-teleworking/,23/03/2020,
1585,Barbados,BRB,,,Americas,Public health measures,Introduction of quarantine policies,Yes,"Persons arriving in Barbados from USA, UK and Europe will be placed in quarantine for 14 days. Quarantine at home if seem healthy or at facility if not. Iran, China, South Korea, and Italy already on list ",22/03/2020,Gov. Info Services,Government,https://gisbarbados.gov.bb/blog/us-uk-europe-join-quarantine-list/,23/03/2020,
1586,Barbados,BRB,,,Americas,Public health measures,General recommendations,Yes,elderly persons advised to stay home,19/03/2020,Gov. Info Services,Government,https://gisbarbados.gov.bb/blog/elderly-persons-advised-to-stay-home/,23/03/2020,
1587,Barbados,BRB,,,Americas,Public health measures,General recommendations,No,recommendations to guard against fraud from PM (fraudulent people seeking to collect money on behalf of the government) ,19/03/2020,Gov. Info Services,Government,https://gisbarbados.gov.bb/blog/pm-warns-dont-let-banditry-intrude/,23/03/2020,
1588,Barbados,BRB,,,Americas,Movement restrictions,Travel restrictions,Yes,Prime Minister Mia Amor Mottley has given strict instructions that no shore leave will be granted to persons on board cruise ships that are homeporting in Barbados (exception for those going directly to airport) ,20/03/2020,Gov. Info Services,Government,https://gisbarbados.gov.bb/blog/no-shore-leave-for-cruise-workers/,23/03/2020,
1589,Barbados,BRB,,,Americas,Public health measures,Awareness campaigns,No,"Ministry of Transport, Works and Maintenance has embarked on a sanitization programme targeting all bus terminals and buses, in accordance with the preferred guidelines of the World Health Organization (WHO) and the Ministry of Health and Wellness in Barbados.",20/03/2020,Gov. Info Services,Government,https://gisbarbados.gov.bb/blog/transport-ministry-reassures-commuters/,23/03/2020,
1590,Barbados,BRB,,,Americas,Public health measures,Awareness campaigns,Yes,Helpline Set Up For The Elderly,20/03/2020,Gov. Info Services,Government,https://gisbarbados.gov.bb/blog/helpline-set-up-for-the-elderly/,23/03/2020,
1591,Barbados,BRB,,,Americas,Public health measures,Strengthening the public health system,No,"All elective surgeries postponed, only urgent and emergent procedures will be conducted. From 03/18/2020 all out-patient clinics closed ",20/03/2020,Gov. Info Services,Government,https://gisbarbados.gov.bb/blog/out-patient-clinics-reduced-elective-surgeries-postponed/,23/03/2020,
1592,Barbados,BRB,,,Americas,Public health measures,Testing for COVID-19,No, visitors to the hospital will be required to submit to a temperature check and sign in at the main entrance,20/03/2020,Gov. Info Services,Government,https://gisbarbados.gov.bb/blog/reduced-visiting-hours-at-qeh/,23/03/2020,
1593,Barbados,BRB,,,Americas,Social and economic measures,Economic measures,No,"$20 million Household Survival Programme consisting of a number of initiatives to assist the vulnerable. 40 per cent in all rates and fees paid by the Welfare Department to its clientele that it services on an annual basis. Another $10 million would be spent on assisting 1,500 vulnerable families, identified by the Welfare Department and the Household Mitigation Unit.  She noted that the families would be given $600 monthly. Announced creation of the Barbados Adopt Our Families Programme. Persons who are laid off will immediately have the opportunity to get their unemployment benefits, guaranteeing them 60 per cent of their insurable earnings, up to a limit of 26 weeks.  The National Insurance Board has agreed to relax the requirement to visit the employment exchange at Warrens. The National Insurance Board will give those on short weeks 60 per cent of their earnings for those days.  For example, if a person is put on a three-day week, then the Board will pay 60 per cent of the wages the person would have earned for the other two days. For those employers who are prepared to retain three quarters of their workforce, even if some on short week, Government will defer their obligation to pay the employer’s contributions for three months, in the first instance, with the preparation to extend it for another three months if the crisis continues beyond that period. There will be a six-month payment moratorium on all existing loans and mortgages for persons and businesses who are directly affected and impacted by COVID-19.  Persons must go to their bank and work out those programmes. The commercial banks have also agreed to temporary working capital financing options for corporates and small businesses which are directly impacted by COVID-19. Government will recapitalize the Small Hotel Investment Fund with $20 million to allow small hotels to borrow and blend with other commercial funds so they can refurbish their property during this down period.  The interest rate for loans will no longer be five per cent but reduced to 3 1/2 per cent. Government will take $1 million from the Arts and Sports Development Fund to finance a programme dedicated to assisting artists, dancers and musicians create developmental content for Barbadians. The creation of a Jobs, Investment and Business Survival Programme. Government will facilitate businesses to use this pause in activity to upscale and invest so that they can come back stronger. In addition, Government will facilitate and fast track a number of investments where the private sector has the capital and is ready to move on the projects.

",21/03/2020,Gov. Info Services,Government,https://gisbarbados.gov.bb/blog/prime-minister-outlines-several-initiatives-to-assist-barbadians/,23/03/2020,
1594,Barbados,BRB,,,Americas,Public health measures,Awareness campaigns,No,launch of online personal guide for staying safe and prepared for COVID 19 ,21/03/2020,Gov. Info Services,Government,https://gisbarbados.gov.bb/blog/preparing-for-covid-19-a-personal-guide/,23/03/2020,
1595,Barbados,BRB,,,Americas,Social and economic measures,Emergency administrative structures activated or established,No,"moved to Stage 2 of the National Preparedness Plan for COVID-19 today when Minister of Health and Wellness, Lt. Col. Jeffrey Bostic, announced that the island had recorded its first cases of in-country human to human transmission",21/03/2020,Gov. Info Services,Government,https://gisbarbados.gov.bb/blog/barbados-at-stage-2-of-covid-19-preparedness-plan/,23/03/2020,
1596,Barbados,BRB,,,Americas,Social distancing,Limit public gatherings,No,non-essential gatherings are now limited to 25 persons.,21/03/2020,Gov. Info Services,Government,https://gisbarbados.gov.bb/blog/stage-2-of-covid-19-limits-non-essential-gatherings-to-25/,23/03/2020,
1597,Barbados,BRB,,,Americas,Public health measures,Strengthening the public health system,No,"Call on retired nurses and doctors, private sector nurses and doctors, anyone else at least somewhat qualified to volunteer (those who had done nursing assitant courses, even retired police officers). Also prepared to bolster health system with addnl. nurses from Ghana ",22/03/2020,Gov. Info Services,Government,https://gisbarbados.gov.bb/blog/efforts-on-to-slow-covid-19-transmission-in-barbados/,23/03/2020,
379,Belarus,BLR,,,Europe,Social distancing,Limit public gatherings,No,Includes sporting events with spectators. Essential government services are not affected.,14/03/2020,US Embassy,Government,https://by.usembassy.gov/suspension-of-entry-of-persons-who-pose-a-risk-of-coronavirus/,15/03/2020,
383,Belarus,BLR,,,Europe,Public health measures,Health screenings in airports and border crossings,No,,13/03/2020,US Embassy,Government,https://by.usembassy.gov/suspension-of-entry-of-persons-who-pose-a-risk-of-coronavirus/,15/03/2020,
384,Belarus,BLR,,,Europe,Movement restrictions,Flights suspension,Yes,"National airline suspends flights to Rome, Milan, Ashgabat, Tel Aviv",14/03/2020,US Embassy,Government,https://by.usembassy.gov/suspension-of-entry-of-persons-who-pose-a-risk-of-coronavirus/,15/03/2020,
1575,Belarus,BLR,,,Europe,Social and economic measures,Emergency administrative structures activated or established,No,Emergencies Ministry and the European Union are intent on launching a twinning project to develop Belarus’ civil protection system,12/03/2020,Government website,Government,https://www.belarus.by/en/government/events/emergencies-ministry-eu-launch-twinning-project-to-enhance-civil-protection-system-in-belarus_i_0000109776.html,23/03/2020,
1611,Belarus,BLR,,,Europe,Social and economic measures,Limit product imports/exports,Yes,"selected medical goods (not only those made in Belarus) are temporarily prohibited from being taken out of the country. Surgical coats, face masks, bandages, gauze, cotton wool, surgical gloves and other medical supplies and equipment are on the list",19/03/2020,Media,Media,https://belsat.eu/en/news/belarus-govt-suspends-export-of-certain-medical-goods/,23/03/2020,
1612,Belarus,BLR,,,Europe,Public health measures,General recommendations,No,Belarusians recommended against travel abroad,20/03/2020,Media,Media,https://eng.belta.by/society/view/belarusians-recommended-against-travel-abroad-129167-2020/?fbclid=IwAR3Oua_zewnnA5GXEOIdIzqu6xanGq3kf8SNI_IebiVOUOohXvWq2O-QLVI,23/03/2020,
1653,Belarus,BLR,,,Europe,Movement restrictions,Visa restrictions,Yes,"Government of Belarus has extended the duration of stay for visa free travelers in Belarus from 30 days to 90 days, and if necessary, longer than 90 days.",18/03/2020,US Embassy,Government,https://by.usembassy.gov/covid-19-information/,23/03/2020,https://www.belarus.by/en/government/events/belarus-extends-period-of-stay-for-foreigners-over-coronavirus_i_0000110003.html
1654,Belarus,BLR,,,Europe,Public health measures,Health screenings in airports and border crossings,No,"Temperature screening measures are in place at Minsk National Airport. Those arriving from China, Iran, South Korea or Italy or other countries where the virus is active, are encouraged to undergo testing at the airport and should be prepared for follow-up by local health authorities and possible quarantine",,US Embassy,Government,https://by.usembassy.gov/covid-19-information/,23/03/2020,
1655,Belarus,BLR,,,Europe,Social distancing,Schools closure ,No,Universities throughout Belarus have cancelled classroom instruction.  Online study will continue.,,US Embassy,Government,https://by.usembassy.gov/covid-19-information/,23/03/2020,
1656,Belarus,BLR,,,Europe,Public health measures,Introduction of quarantine policies,Yes, quarantine measures for all close contacts of individuals who test positive for COVID-19.  Persons subject to quarantine will be tested and hospitalized for observation for 14 days.,,US Embassy,Government,https://by.usembassy.gov/covid-19-information/,23/03/2020,
84,Belgium,BEL,,,Europe,Public health measures,Awareness campaigns,No,,1/02/2020,Government,Government,https://www.info-coronavirus.be/en/,14/03/2020,
85,Belgium,BEL,,,Europe,Social and economic measures,Emergency administrative structures activated or established,No,"all decisions will be taken by a management cell composed of, among others, the Prime Minister, the competent ministers and the Ministers-Presidents.  ",12/03/2020,Government,Government,https://www.info-coronavirus.be/en/2020/03/12/phase-2-maintained-transition-to-the-federal-phase-and-additional-measures/,14/03/2020,
86,Belgium,BEL,,,Europe,Social distancing,Schools closure ,No,,13/03/2020,Government,Government,https://www.info-coronavirus.be/en/2020/03/12/phase-2-maintained-transition-to-the-federal-phase-and-additional-measures/,14/03/2020,
87,Belgium,BEL,,,Europe,Social distancing,Limit public gatherings,No,All including cafeterias restaurants etc.,13/03/2020,Government,Government,https://www.info-coronavirus.be/en/2020/03/12/phase-2-maintained-transition-to-the-federal-phase-and-additional-measures/,14/03/2020,
88,Belgium,BEL,,,Europe,Social and economic measures,Economic measures,No,"    Temporary layoffs due to force majeure 
    Temporary layoffs for economic reasons
    Payment plan for employer's social security contributions
    Payment plan VAT
    Payment plan for withholding tax
    Payment plan for personal/corporate tax
    Reduction of prepayment for self-employed
    Delay or exemption of the payment for employer's social security contributions for self-employed
    Obtaining a replacement income for self-employed (bridging right)
    Flexibility in the execution of federal public contracts",13/03/2020,Government,Government,https://www.info-coronavirus.be/en/2020/03/12/phase-2-maintained-transition-to-the-federal-phase-and-additional-measures/,14/03/2020,
894,Belgium,BEL,,,Europe,Social and economic measures,General lockdown,No,"Police enforced general lock-down limiting the leaving of ones home only for emergencies, helping others and essential errands. Gathering and meetings are prohibited. Companies required to organize telework where possible, without exeption. Measures set to last until 5th April.",18/03/2020,Government,Government,https://www.belgium.be/nl/nieuws/2020/coronavirus_versterkte_maatregelen,20/03/2020,https://www.euractiv.com/section/coronavirus/news/belgium-enters-lockdown-over-coronavirus-crisis-until-5-april/
